Month,US_Deaths_per_100k,next month DOW/GOLD percentage change scaled. -30 is a move of 3 percent down
1957/7,0.6,-7.6
1957/8,0.8,-4.6
1957/9,1.7,-8.1
1957/10,13.1,-1.9
1957/11,18.8,0.1
1957/12,6.2,1.4
1958/1,5.6,-0.4
1958/2,6.9,1.7
1958/3,6.2,-0.9
1958/4,2.8,3.7
1958/5,1.2,3.4
1958/6,0.6,4.6
1968/7,0.1,-5.4
1968/8,0.2,9.7
1968/9,0.2,8.1
1968/10,0.5,2.1
1968/11,1,1.1
1968/12,16.4,-17
1969/1,23.3,-0.9
1969/2,4.8,-3.5
1969/3,2.6,2.6
1969/4,0.9,6.6
1969/5,0.4,-13.9
1969/6,0.2,-12.6
2020/2,6.5,-34.3
2020/3,6.7,-5.4
2020/4,21.6,3.7
